balance_buffer_gap_ratio,guaranteed_income_ratio,likely_income_ratio,expense_outflow_ratio,commitment_outflow_ratio,essential_outflow_ratio,days_to_next_guaranteed_income,scheduled_event_count,label
0.890990430211178,0.9144277420779373,0.07949689752137955,0.7519160915831609,0.7312408777380988,0.6551280067470493,10.0,9.0,0
0.7451459630532618,0.5687748331660302,0.021610693523441915,0.25266079990003765,0.3822217515648435,0.3485819270983942,2.0,8.0,0
0.39205194729560144,1.0851421179613323,0.06325153237072464,0.6412488456620017,0.9553036410913149,0.7471729469013972,25.0,11.0,1
0.8340248245860207,1.1711461803053385,0.10119320774638767,0.6313639120155093,0.699451888467148,0.7899011773863245,5.0,16.0,0
0.5586287962281835,0.9721155379631166,0.08872122473455052,0.2195473040985895,0.4509144038146036,0.3468965269930557,22.0,8.0,0
0.25652821320031377,2.296302523363971,0.10155633268311294,1.364146470770497,1.0984174728319716,1.5167784899994392,9.0,8.0,1
0.6010930179565468,2.395148720992458,0.32916092724720003,2.2846330466599025,1.8022613752302434,2.3280606070465732,26.0,12.0,1
0.8009576048940428,0.8668158090554918,0.04821615714095649,0.4460449017960976,0.4711780946516509,0.6013610053787538,0.0,3.0,0
0.12673241569596833,2.841431665028903,0.18934229327170324,0.4666009664792324,1.012550883655499,0.6799800660717354,0.0,13.0,0
0.8960075062896111,0.8152378963101211,0.04932436321958602,0.15920826967573137,0.1958571951217187,0.15495072746492572,24.0,18.0,0
-0.21107283873725072,2.402315125067605,0.2790948641364415,1.392019931477823,2.6532576892005006,2.382106665471351,18.0,9.0,1
0.824800970839066,0.9880938394555046,0.016858591983122808,0.2697157455615441,0.20158100447644026,0.25325277307894856,14.0,3.0,0
-0.06652652305922285,1.9417260192213908,0.17505386825133054,0.8666859311703872,0.7896448708289996,0.719841118290977,21.0,7.0,1
-0.7188849962481108,3.561663037203915,0.29889850122728523,0.7155328656646874,1.742786638094741,1.4289838521613614,4.0,12.0,1
0.37038074592177805,1.368751180442825,0.02484453351460497,0.42288211418576194,0.7607478966218303,0.5686021725138443,12.0,13.0,0
0.06384426602204288,2.3277204930838007,0.026456239964918592,1.0502258170944265,1.2054030576718848,0.9537264689203511,22.0,10.0,1
0.70559896202472,1.2318043768972875,0.05757815101676395,0.2881276621257318,0.4207574101952557,0.29118855604140675,6.0,6.0,0
0.46075101185716427,1.3413248675827103,0.03708165381876136,0.6088706185322892,0.6433920603808511,0.5955269436917556,1.0,8.0,0
-0.5020202270999751,3.373789546136662,0.17394089050394,0.9898723864097927,1.513841411937297,1.2874974417286102,0.0,12.0,1
0.8003533829413969,1.2048443271864417,0.022380942244157393,0.6020758272856677,0.5378892352308006,0.6321281862142577,28.0,12.0,1
-0.7326486008998087,1.7588379368322435,0.07979154629672246,0.6921456087919636,1.2211910968504742,0.9532574941972616,19.0,9.0,1
-0.29918031784731586,2.3319255719336067,0.0364910834697331,0.8257335089229136,0.8380075855548089,0.7630752518795985,26.0,10.0,1
0.7963306696737829,1.1834850048761565,0.005741624426138336,0.3021723542940659,0.4914623515124689,0.3712521018332068,29.0,11.0,0
0.6660307145478701,0.6006385310744414,0.02574270447505392,0.16497541503093588,0.15063561498301303,0.15287072050645598,15.0,12.0,0
0.029244015461211546,2.052248941775691,0.13781726846670503,1.2430909168766031,1.1696911887036499,1.2486595060339378,13.0,9.0,1
0.7521447187985126,0.6266553968379893,0.012905558392365917,0.14808569515209172,0.21849068641397543,0.14962159140578812,4.0,11.0,0
0.44841646441278304,1.9078163858527657,0.030488084439014507,0.6080582880349168,0.5493782883705385,0.6973485590288602,29.0,15.0,1
0.8155333244473248,0.5503120637300215,0.03269134615410452,0.15425665899872842,0.24613002530576653,0.19080492641324545,10.0,9.0,0
